PY,lower_bound,n_docs,upper_bound
1981,558,558.0,558.0
1982,547,547.0,547.0
1983,641,641.0,641.0
1984,747,747.0,747.0
1985,624,624.0,624.0
1986,618,618.0,618.0
1987,703,703.0,703.0
1988,843,843.0,843.0
1989,1299,1299.0,1299.0
1990,1953,1953.0,1953.0
1991,2656,2656.0,2656.0
1992,2732,2732.0,2732.0
1993,3107,3107.0,3107.0
1994,3051,3051.0,3051.0
1995,3668,3668.0,3668.0
1996,3943,3943.0,3943.0
1997,4296,4296.0,4296.0
1998,4921,4921.0,4921.0
1999,5606,5606.0,5606.0
2000,6308,6308.0,6308.0
2001,6874,6874.0,6874.0
2002,7825,7825.0,7825.0
2003,9025,9025.0,9025.0
2004,11066,11066.0,11066.0
2005,13019,13019.0,13019.0
2006,13611,13611.0,13611.0
2007,17686,17686.0,17686.0
2008,20214,20214.0,20214.0
2009,24369,24369.0,24369.0
2010,28222,28222.0,28222.0
2011,32387,32387.0,32387.0
2012,35159,35159.0,35159.0
2013,39823,39823.0,39823.0
2014,42858,42858.0,42858.0
2015,44057,44057.0,44057.0
2016,45159,45159.0,45159.0
2017,45159,,51183.2106
2018,45159,,58011.050894039996
2019,45159,,65749.72508330493
2020,45159,,74520.73840941781
2021,45159,,84461.80491323414
