PY,n_authors,n_docs,n_journals,n_keywords,n_words,key_docs
1981,868,558,172,0,1111,0.0
1982,889,547,186,0,1056,0.0
1983,995,641,215,0,1172,0.0
1984,1166,747,263,0,1508,0.0
1985,1092,624,233,0,1450,0.0
1986,1051,618,238,0,1443,0.0
1987,1300,703,262,1,1783,0.001422475106685633
1988,1510,843,291,1,1964,0.0011862396204033216
1989,2133,1299,423,0,2564,0.0
1990,3236,1953,599,35,3468,0.017921146953405017
1991,2769,2656,733,288,4815,0.10843373493975904
1992,3242,2732,780,377,5208,0.13799414348462666
1993,3896,3107,835,499,5694,0.16060508529127776
1994,4270,3051,920,586,5743,0.19206817436905932
1995,5429,3668,983,915,6434,0.2494547437295529
1996,6209,3943,1085,1022,6888,0.25919350748161296
1997,7011,4296,1166,1356,7245,0.31564245810055863
1998,7602,4921,1416,1519,7917,0.30867709815078237
1999,8604,5606,1509,1704,8595,0.30396004281127365
2000,9211,6308,1686,2004,9137,0.31769181991122386
2001,16509,6874,1870,2308,9642,0.33575792842595287
2002,19599,7825,2001,2809,10359,0.3589776357827476
2003,22042,9025,2258,3197,11168,0.3542382271468144
2004,28109,11066,2567,3634,12636,0.3283932767034159
2005,32751,13019,2833,3962,13808,0.3043244488824026
2006,35691,13611,3053,4538,14310,0.33340680332084344
2007,44131,17686,3788,5820,16025,0.3290738437181952
2008,50732,20214,4412,7215,17469,0.356930840011873
2009,62149,24369,5059,8616,19145,0.3535639542041118
2010,71967,28222,5790,10660,20758,0.37771950960243783
2011,84183,32387,6197,12898,22418,0.3982462098990336
2012,93197,35159,6564,15682,23621,0.44603088825051906
2013,107370,39823,6800,19130,25134,0.4803756623057027
2014,118005,42854,7020,21037,26350,0.4908993326177253
2015,124460,43977,7232,23294,27200,0.5296859722127476
2016,127846,44167,6471,26196,27293,0.5931125048112844
2017,147603,51171,7482,28427,29483,0.5555294991303668
